FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
2283,1,2,5,305.0490112,9.9985304,19.7458,1169.050049,122.8130035,1.76773,-10.3242998,0.694006,0.370191,0.738533,145.3220062
3064,1,2,5,318.6910095,6.4685898,10.9062996,1165.119995,78.3567963,1.95116,-5.89189,0.763407,0.445025,0.783288,191.1840057
26126,1,2,3,305.1340027,56.8372002,8.2393503,1173.380005,124.3130035,1.3927701,-4.5135102,0.659306,0.303045,0.685527,463.9460144
8480,1,4,1,285.3330078,23.1772003,29.4200993,1185.430054,167.7839966,1.6160901,12.7838001,0.577287,0.368421,-0.342496,85.5
5967,1,2,4,277.8529968,19.5545998,14.4020004,1180.839966,36.7192001,1.54548,-0.189189,0.719243,0.291558,0.763073,664.7290039
2441,1,2,4,109.026001,49.0905991,38.9123993,1168.569946,85.7356033,1.7879,-5.02703,0.675079,0.230142,0.628256,423.6830139
8269,1,4,3,243.5910034,38.0564995,35.7486,1185.75,84.2580032,1.65947,-5.08108,0.731861,0.375824,0.817654,171
25264,1,4,5,50.8860016,35.2703018,31.1676006,1187.52002,61.0309982,1.67278,-11.9729996,0.700315,0.372447,0.829664,2087.52002
16135,1,4,2,181.5480042,45.6291008,9.2209501,1190.089966,16.5823994,1.74163,3.10811,0.791798,0.0726151,0.2955,485.3380127
4473,1,2,5,75.0686035,57.678299,22.2215004,1172.939941,76.7563019,1.77605,2.10811,0.652997,0.345686,0.761201,85.5
26264,1,4,5,61.6310005,47.1365013,26.4944,1177.430054,103.5159988,1.40378,-6.4594598,0.694006,0.321697,0.719884,222.5919952
27023,1,4,4,115.8209991,38.6571007,8.5893402,1178,52.0527,1.53185,4.5675702,0.665615,0.22457,0.656941,28.5
3575,1,2,5,214.2160034,10.6445999,21.6924,1162.819946,76.3823013,1.94581,-12.1351004,0.646688,0.189926,0.499709,120.9150009
8219,1,4,3,268.7550049,12.1403999,21.9792004,1185.900024,114.3399963,1.66257,-13.3242998,0.709779,0.368514,0.79505,145.3220062
12909,1,4,2,183.0130005,17.6306992,4.7701998,1192.540039,28.9396,1.8256,0.648649,0.766562,0.262172,0.578824,205.5160065
27702,1,4,5,132.9550018,26.7936001,9.8587503,1173.150024,54.7496986,1.38899,-1.08108,0.73817,0.385799,0.806402,1442
19652,1,4,5,57.7243996,50.9272003,11.1513996,1187.660034,21.7423992,1.63765,-2.2973001,0.681388,0.341463,0.769211,728.2849731
11924,1,4,2,98.1300964,8.1826601,12.2484999,1192.439941,42.4006996,1.81794,-1.48649,0.769716,0.254895,0.60346,302.9590149
